	id	pid	ms_subclass	ms_zoning	lot_area	street	lot_shape	land_contour	utilities	lot_config	land_slope	neighborhood	condition_1	condition_2	bldg_type	house_style	overall_qual	overall_cond	year_built	year_remod/add	roof_style	roof_matl	exterior_1st	exterior_2nd	mas_vnr_type	mas_vnr_area	exter_qual	exter_cond	foundation	bsmtfin_type_1	total_bsmt_sf	heating	heating_qc	central_air	electrical	1st_flr_sf	2nd_flr_sf	low_qual_fin_sf	gr_liv_area	bsmt_full_bath	bsmt_half_bath	full_bath	half_bath	bedroom_abvgr	kitchen_abvgr	kitchen_qual	totrms_abvgrd	functional	fireplaces	garage_type	garage_area	garage_qual	paved_drive	wood_deck_sf	open_porch_sf	enclosed_porch	3ssn_porch	screen_porch	pool_area	misc_val	mo_sold	yr_sold	sale_type	saleprice
10	1044	527451290	160	RM	1680	Pave	Reg	Lvl	AllPub	Inside	Gtl	BrDale	Norm	Norm	Twnhs	2Story	6	5	1971	1971	Gable	CompShg	HdBoard	HdBoard	BrkFace	232.0	TA	TA	CBlock	5	483.0	GasA	TA	Y	SBrkr	483	504	0	987	0.0	0.0	1	1	2	1	TA	4	Typ	0	Detchd	264.0	3	Y	0	0	0	0	0	0	0	7	2008	COD	85400
11	2752	906380150	20	RL	7488	Pave	IR1	Lvl	AllPub	Inside	Gtl	CollgCr	Norm	Norm	1Fam	1Story	7	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	None	0.0	Gd	TA	PConc	6	1208.0	GasA	Ex	Y	SBrkr	1208	0	0	1208	0.0	0.0	2	0	2	1	Gd	6	Typ	0	Attchd	632.0	3	Y	105	58	0	0	0	0	0	2	2006	WD 	183600
12	807	906226060	70	RL	26400	Pave	Reg	Bnk	AllPub	FR2	Gtl	SawyerW	Feedr	Norm	1Fam	2Story	5	7	1880	2007	Gable	CompShg	HdBoard	HdBoard	None	0.0	Gd	TA	PConc	0	0.0	GasA	Ex	Y	SBrkr	1288	728	0	2016	0.0	0.0	1	0	4	1	TA	7	Mod	1	Attchd	576.0	3	P	0	0	0	0	0	0	0	6	2009	WD 	131000
13	1177	533236070	160	FV	2645	Pave	Reg	Lvl	AllPub	Inside	Gtl	Somerst	Norm	Norm	Twnhs	2Story	8	5	1999	2000	Gable	CompShg	MetalSd	MetalSd	BrkFace	456.0	Gd	TA	PConc	6	960.0	GasA	Ex	Y	SBrkr	962	645	0	1607	1.0	0.0	2	1	3	1	Gd	7	Typ	0	Detchd	480.0	3	Y	169	0	0	0	0	0	0	12	2008	ConLD	200000
14	1480	907418040	20	RL	9627	Pave	Reg	Lvl	AllPub	Inside	Gtl	CollgCr	Norm	Norm	1Fam	1Story	7	5	2007	2007	Gable	CompShg	VinylSd	VinylSd	None	0.0	Gd	TA	PConc	6	1351.0	GasA	Ex	Y	SBrkr	1361	0	0	1361	0.0	0.0	2	0	3	1	Gd	6	Typ	0	Attchd	610.0	3	Y	0	50	0	0	0	0	0	6	2008	WD 	193000
15	324	923202105	20	RL	10114	Pave	Reg	Lvl	AllPub	Inside	Gtl	Mitchel	Norm	Norm	1Fam	1Story	5	5	2004	2005	Gable	CompShg	VinylSd	VinylSd	None	0.0	TA	TA	PConc	1	1430.0	GasA	Ex	Y	SBrkr	1430	0	0	1430	0.0	0.0	2	0	3	1	Gd	7	Typ	0	Attchd	624.0	3	Y	0	0	0	0	0	0	0	3	2010	WD 	173500
16	1311	902301140	70	RM	4571	Pave	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Norm	Norm	1Fam	2Story	5	5	1916	1950	Gable	CompShg	AsbShng	AsbShng	None	0.0	TA	TA	BrkTil	1	624.0	GasA	Fa	N	SBrkr	624	720	0	1344	0.0	0.0	1	0	4	1	TA	7	Typ	0	Detchd	513.0	2	Y	0	0	96	0	0	0	0	5	2008	COD	98000
17	770	905101490	20	RL	8816	Pave	Reg	Lvl	AllPub	Corner	Gtl	Sawyer	Feedr	Norm	1Fam	1Story	5	6	1963	1963	Gable	CompShg	VinylSd	VinylSd	None	0.0	TA	TA	PConc	3	1121.0	GasA	TA	Y	SBrkr	1121	0	0	1121	1.0	0.0	1	0	3	1	TA	5	Typ	0	Detchd	480.0	3	Y	0	80	0	0	0	0	0	6	2009	WD 	139000
18	2063	905107140	20	RL	8197	Pave	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	6	5	1977	1977	Gable	CompShg	Plywood	Plywood	BrkFace	148.0	TA	TA	CBlock	1	660.0	GasA	Ex	Y	SBrkr	1285	0	0	1285	0.0	0.0	1	1	3	1	TA	7	Typ	1	Attchd	528.0	3	Y	138	0	0	0	0	0	0	4	2007	WD 	143500
19	69	528458070	60	FV	8640	Pave	Reg	Lvl	AllPub	Inside	Gtl	Somerst	Norm	Norm	1Fam	2Story	7	5	2009	2009	Gable	CompShg	VinylSd	VinylSd	None	0.0	TA	TA	PConc	6	756.0	GasA	Ex	Y	SBrkr	764	783	0	1547	0.0	0.0	2	1	3	1	Gd	7	Typ	0	Attchd	614.0	3	Y	169	45	0	0	0	0	0	6	2010	Con	215200
20	2062	905106150	20	RL	8724	Pave	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	5	1968	1968	Gable	CompShg	VinylSd	VinylSd	None	0.0	TA	TA	CBlock	4	894.0	GasA	Gd	Y	SBrkr	894	0	0	894	0.0	0.0	1	0	3	1	TA	5	Typ	1	Attchd	450.0	3	Y	0	0	0	0	0	0	0	5	2007	WD 	129000
21	351	527131030	120	RL	5664	Pave	IR1	Lvl	AllPub	Inside	Gtl	StoneBr	Norm	Norm	TwnhsE	1Story	8	5	2000	2000	Gable	CompShg	CemntBd	CmentBd	None	0.0	Gd	TA	PConc	6	1501.0	GasA	Ex	Y	SBrkr	1659	0	0	1659	1.0	0.0	2	0	2	1	Ex	5	Typ	1	Attchd	499.0	3	Y	212	59	0	0	0	0	0	10	2009	WD 	278000
23	12	527165230	20	RL	7980	Pave	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	1Story	6	7	1992	2007	Gable	CompShg	HdBoard	HdBoard	None	0.0	TA	Gd	PConc	5	1168.0	GasA	Ex	Y	SBrkr	1187	0	0	1187	1.0	0.0	2	0	3	1	TA	6	Typ	0	Attchd	420.0	3	Y	483	21	0	0	0	0	500	3	2010	WD 	185000
24	2339	527250040	190	RL	34650	Pave	Reg	Bnk	AllPub	Inside	Gtl	Gilbert	Norm	Norm	2fmCon	1Story	5	5	1955	1955	Hip	CompShg	Wd Sdng	Wd Sdng	None	0.0	TA	TA	CBlock	3	1056.0	GasA	TA	N	SBrkr	1056	0	0	1056	1.0	0.0	1	0	3	1	TA	5	Typ	0	Attchd	572.0	3	Y	264	0	0	0	0	0	0	1	2006	WD 	145000
25	624	535104120	20	RL	10573	Pave	IR1	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	6	1961	1961	Hip	CompShg	MetalSd	MetalSd	BrkFace	3.0	TA	TA	CBlock	3	1453.0	GasA	Ex	Y	SBrkr	1453	0	0	1453	1.0	0.0	2	0	3	1	TA	6	Typ	1	Attchd	530.0	3	Y	0	49	0	0	288	0	0	4	2009	WD 	187500
26	86	532376160	20	RL	8450	Pave	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	RRAe	Norm	1Fam	1Story	5	8	1965	2009	Gable	CompShg	MetalSd	MetalSd	None	0.0	TA	Gd	CBlock	6	894.0	GasA	Ex	Y	SBrkr	894	0	0	894	1.0	0.0	1	0	3	1	TA	5	Typ	1	Detchd	336.0	3	Y	416	144	0	0	0	0	0	4	2010	WD 	138500
27	1534	909277040	50	RL	11700	Pave	IR1	HLS	AllPub	Inside	Mod	Crawfor	Norm	Norm	1Fam	1.5Fin	5	6	1937	1995	Gable	CompShg	WdShing	Wd Shng	None	0.0	TA	TA	CBlock	4	942.0	GasA	Ex	Y	SBrkr	1265	673	0	1938	0.0	0.0	2	0	4	1	Gd	7	Min2	1	Detchd	240.0	3	Y	0	40	0	0	0	0	0	7	2008	WD 	198000
28	2243	911103060	190	C (all)	8250	Pave	Reg	Lvl	AllPub	Inside	Gtl	IDOTRR	Feedr	Norm	2fmCon	2Story	5	6	1895	2006	Gable	CompShg	VinylSd	VinylSd	None	0.0	TA	Gd	CBlock	1	957.0	GasA	Fa	N	SBrkr	1034	957	0	1991	0.0	0.0	2	0	4	2	TA	9	Typ	0	none	0.0	0	N	0	0	133	0	0	0	0	6	2007	WD 	119600
29	1957	535450190	50	RL	8064	Pave	Reg	Lvl	AllPub	Corner	Gtl	NAmes	Artery	Norm	1Fam	1.5Fin	5	7	1949	2006	Gable	CompShg	MetalSd	MetalSd	None	0.0	TA	Gd	CBlock	1	672.0	GasA	Ex	Y	SBrkr	672	252	0	924	0.0	0.0	1	0	3	1	TA	6	Typ	1	Detchd	576.0	3	Y	0	0	0	0	0	0	2000	7	2007	WD 	122900
30	380	527355150	20	RL	9600	Pave	Reg	Lvl	AllPub	Inside	Gtl	NWAmes	PosN	Norm	1Fam	1Story	8	5	1981	1981	Hip	WdShngl	BrkFace	BrkFace	None	0.0	Gd	TA	PConc	5	2524.0	GasA	TA	Y	SBrkr	2524	0	0	2524	1.0	0.0	2	1	4	1	Gd	9	Typ	1	Attchd	542.0	3	Y	474	120	0	0	0	0	0	7	2009	WD 	278000
31	2860	909276010	70	RL	11435	Pave	IR1	HLS	AllPub	Corner	Mod	Crawfor	Norm	Norm	1Fam	2Story	8	7	1929	1950	Gable	CompShg	BrkFace	Stucco	None	0.0	TA	TA	PConc	1	792.0	GasA	Fa	Y	SBrkr	792	725	0	1517	0.0	0.0	1	0	3	1	Gd	7	Typ	2	Detchd	400.0	3	Y	0	0	0	0	0	0	0	6	2006	WD 	230000
32	2517	533250130	120	RL	9549	Pave	IR1	Lvl	AllPub	CulDSac	Gtl	Veenker	Norm	Norm	TwnhsE	1Story	8	5	1995	1996	Hip	CompShg	BrkFace	BrkFace	None	0.0	Gd	Gd	PConc	2	1494.0	GasA	Ex	Y	SBrkr	1494	0	0	1494	1.0	0.0	1	1	2	1	Ex	6	Typ	1	Attchd	481.0	3	Y	0	30	0	0	216	0	0	4	2006	WD 	270000
33	1933	535302070	20	RL	10950	Pave	Reg	Lvl	AllPub	Inside	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	6	1952	1952	Hip	CompShg	Wd Sdng	Wd Sdng	None	0.0	TA	TA	CBlock	5	948.0	GasA	TA	Y	SBrkr	948	0	0	948	0.0	0.0	1	0	2	1	TA	5	Typ	0	Detchd	410.0	3	N	0	48	0	0	0	0	0	4	2007	WD 	125000
34	820	906340110	20	RL	10637	Pave	Reg	Lvl	AllPub	Inside	Gtl	CollgCr	Norm	Norm	1Fam	1Story	8	5	2007	2008	Hip	CompShg	VinylSd	VinylSd	Stone	336.0	Gd	TA	PConc	6	1705.0	GasA	Ex	Y	SBrkr	1718	0	0	1718	1.0	0.0	2	0	3	1	Gd	7	Typ	1	Attchd	826.0	3	Y	208	44	0	0	0	0	0	9	2009	WD 	297000
35	675	535426150	20	RL	9000	Pave	IR1	HLS	AllPub	Inside	Mod	NAmes	Norm	Norm	1Fam	1Story	6	6	1958	1958	Flat	Tar&Grv	Wd Sdng	Wd Sdng	BrkFace	82.0	TA	TA	CBlock	1	160.0	GasA	Fa	Y	SBrkr	1142	0	0	1142	0.0	0.0	1	0	2	1	TA	5	Typ	1	Basment	384.0	3	Y	0	28	64	0	0	0	0	4	2009	WD 	113500
36	2910	923225240	160	RM	2665	Pave	Reg	Lvl	AllPub	Inside	Gtl	MeadowV	Norm	Norm	TwnhsE	2Story	5	6	1977	1977	Gable	CompShg	CemntBd	CmentBd	None	0.0	TA	TA	PConc	5	757.0	GasA	Ex	Y	SBrkr	925	550	0	1475	0.0	0.0	2	0	4	1	TA	6	Typ	1	Attchd	336.0	3	Y	104	26	0	0	0	0	0	7	2006	WD 	127000
37	21	527358140	20	RL	11751	Pave	IR1	Lvl	AllPub	Inside	Gtl	NWAmes	Norm	Norm	1Fam	1Story	6	6	1977	1977	Hip	CompShg	Plywood	Plywood	BrkFace	480.0	TA	TA	CBlock	4	1844.0	GasA	Ex	Y	SBrkr	1844	0	0	1844	0.0	0.0	2	0	3	1	TA	7	Typ	1	Attchd	546.0	3	Y	0	122	0	0	0	0	0	1	2010	COD	190000
38	1873	534177210	20	RL	9600	Pave	Reg	Lvl	AllPub	Inside	Gtl	NWAmes	Norm	Norm	1Fam	1Story	7	6	1973	1973	Hip	CompShg	HdBoard	HdBoard	BrkFace	320.0	TA	TA	CBlock	5	1242.0	GasA	Fa	Y	SBrkr	1242	0	0	1242	0.0	0.0	1	1	3	1	TA	6	Typ	1	Attchd	528.0	3	Y	0	0	0	0	0	0	0	9	2007	WD 	175500
39	2125	907135050	20	RL	8428	Pave	IR2	Lvl	AllPub	Inside	Gtl	CollgCr	Norm	Norm	1Fam	1Story	5	7	1994	1994	Gable	CompShg	VinylSd	VinylSd	None	0.0	TA	Gd	PConc	6	990.0	GasA	Ex	Y	SBrkr	990	0	0	990	1.0	0.0	1	0	3	1	TA	5	Typ	0	Detchd	384.0	3	Y	256	0	0	0	0	0	0	7	2007	WD 	146000
40	1489	908102260	20	RL	9937	Pave	Reg	Lvl	AllPub	Inside	Gtl	Edwards	Norm	Norm	1Fam	1Story	5	6	1965	1965	Gable	CompShg	HdBoard	HdBoard	None	0.0	Gd	TA	CBlock	4	1256.0	GasA	Gd	Y	SBrkr	1256	0	0	1256	1.0	0.0	1	1	3	1	TA	6	Typ	0	Attchd	276.0	3	Y	736	68	0	0	0	0	0	6	2008	WD 	147500
42	983	923275040	85	RL	9101	Pave	IR1	Lvl	AllPub	Corner	Gtl	Mitchel	Norm	Norm	1Fam	SFoyer	5	6	1978	1978	Gable	CompShg	Plywood	Plywood	BrkFace	104.0	TA	Gd	PConc	6	1097.0	GasA	Ex	Y	SBrkr	1110	0	0	1110	1.0	0.0	1	0	1	1	Gd	4	Typ	1	Attchd	602.0	3	Y	303	30	0	0	0	0	0	7	2009	WD 	165500
43	1325	902406090	50	RM	12150	Pave	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Norm	Norm	1Fam	1.5Fin	5	5	1954	1954	Gable	CompShg	MetalSd	MetalSd	BrkFace	335.0	TA	TA	BrkTil	1	1050.0	GasA	Ex	N	FuseF	1050	745	0	1795	0.0	0.0	2	0	4	1	TA	7	Typ	0	Attchd	352.0	2	Y	0	0	0	0	0	0	0	11	2008	WD 	131500
44	1378	905102170	20	RL	11200	Pave	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	5	1965	1965	Hip	CompShg	HdBoard	HdBoard	None	0.0	TA	TA	CBlock	3	1040.0	GasA	Ex	Y	SBrkr	1040	0	0	1040	1.0	0.0	1	0	3	1	TA	5	Typ	0	Detchd	384.0	3	Y	0	0	0	0	0	0	0	2	2008	WD 	129500
45	1537	909281110	70	RL	9670	Pave	IR1	HLS	AllPub	Inside	Mod	Crawfor	Norm	Norm	1Fam	2Story	8	6	1935	1950	Gable	CompShg	BrkFace	Stucco	Stone	40.0	TA	TA	PConc	2	608.0	GasA	TA	Y	SBrkr	983	890	0	1873	0.0	0.0	1	1	4	1	TA	9	Typ	2	Detchd	786.0	2	Y	0	0	207	0	0	0	0	6	2008	WD 	257076
46	905	909101140	50	RL	10998	Pave	Reg	Lvl	AllPub	Inside	Gtl	Edwards	Norm	Norm	1Fam	1.5Fin	5	5	1941	1960	Gable	CompShg	Wd Sdng	Wd Sdng	None	0.0	TA	TA	CBlock	2	984.0	GasA	Ex	Y	SBrkr	984	620	0	1604	0.0	0.0	2	0	3	1	TA	6	Min2	0	Detchd	660.0	3	Y	0	68	0	0	0	0	0	7	2009	WD 	117000
47	1532	909275050	70	RL	7200	Pave	Reg	HLS	AllPub	Inside	Mod	Crawfor	Norm	Norm	1Fam	2Story	7	6	1931	2000	Gable	CompShg	Stucco	Wd Shng	None	0.0	TA	Fa	BrkTil	1	776.0	GasA	TA	Y	SBrkr	851	651	0	1502	0.0	0.0	1	1	3	1	TA	6	Typ	1	Attchd	270.0	3	P	0	0	112	0	0	0	0	2	2008	WD 	149000
48	132	534475100	20	RL	9920	Pave	Reg	Lvl	AllPub	Inside	Gtl	NAmes	Norm	Norm	1Fam	1Story	5	5	1954	1954	Gable	CompShg	HdBoard	HdBoard	Stone	110.0	TA	TA	CBlock	3	1056.0	GasA	TA	Y	SBrkr	1063	0	0	1063	1.0	0.0	1	0	3	1	TA	6	Typ	0	Attchd	280.0	3	Y	0	0	164	0	0	0	0	2	2010	WD 	128000
49	1078	528188090	160	RL	2448	Pave	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	Twnhs	2Story	7	5	2003	2004	Gable	CompShg	VinylSd	Wd Shng	Stone	106.0	Gd	TA	PConc	1	764.0	GasA	Ex	Y	SBrkr	764	862	0	1626	0.0	0.0	2	1	2	1	Gd	6	Typ	0	BuiltIn	474.0	3	Y	0	27	0	0	0	0	0	10	2008	WD 	155000
50	2511	533221080	160	FV	2998	Pave	Reg	Lvl	AllPub	Inside	Gtl	Somerst	Norm	Norm	TwnhsE	2Story	6	5	2000	2000	Gable	CompShg	MetalSd	MetalSd	BrkFace	513.0	Gd	TA	PConc	6	756.0	GasA	Ex	Y	SBrkr	768	756	0	1524	0.0	0.0	2	1	2	1	Gd	4	Typ	0	Detchd	440.0	3	Y	0	32	0	0	0	0	0	6	2006	WD 	166000
51	912	909250220	50	RL	7804	Pave	Reg	Lvl	AllPub	Inside	Gtl	SWISU	Norm	Norm	1Fam	1.5Fin	4	3	1928	1950	Gable	CompShg	WdShing	Plywood	None	0.0	TA	TA	BrkTil	4	1122.0	GasA	TA	Y	SBrkr	1328	653	0	1981	1.0	0.0	2	0	4	1	Gd	7	Min2	2	Detchd	576.0	3	Y	431	44	0	0	0	0	0	12	2009	WD 	135000
52	2351	527356020	60	RL	16692	Pave	IR1	Lvl	AllPub	Inside	Gtl	NWAmes	RRAn	Norm	1Fam	2Story	7	5	1978	1978	Gable	CompShg	Plywood	Plywood	BrkFace	184.0	TA	TA	CBlock	4	1392.0	GasA	TA	Y	SBrkr	1392	1392	0	2784	1.0	0.0	3	1	5	1	Gd	12	Typ	2	Attchd	564.0	3	Y	0	112	0	0	440	519	2000	7	2006	WD 	250000
53	330	923226250	160	RM	1476	Pave	Reg	Lvl	AllPub	Inside	Gtl	MeadowV	Norm	Norm	Twnhs	2Story	4	7	1970	1970	Gable	CompShg	CemntBd	CmentBd	None	0.0	TA	TA	CBlock	6	546.0	GasA	Ex	Y	SBrkr	546	546	0	1092	0.0	0.0	1	1	3	1	TA	5	Typ	0	none	0.0	0	Y	200	26	0	0	0	0	0	3	2010	WD 	76000
54	2586	535305120	20	RL	10170	Pave	Reg	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	6	1951	1951	Hip	CompShg	Wd Sdng	Wd Sdng	BrkFace	522.0	TA	TA	CBlock	1	216.0	GasA	TA	Y	SBrkr	1575	0	0	1575	0.0	0.0	1	1	2	1	Gd	5	Typ	1	Attchd	400.0	3	Y	0	0	0	0	0	0	0	6	2006	WD 	155000
55	224	905106140	60	RL	9364	Pave	Reg	Lvl	AllPub	Corner	Gtl	Sawyer	Norm	Norm	1Fam	2Story	6	7	1969	1969	Gable	CompShg	HdBoard	HdBoard	Stone	143.0	TA	TA	CBlock	5	663.0	GasA	TA	Y	SBrkr	663	689	0	1352	0.0	0.0	1	1	4	1	TA	7	Typ	0	Attchd	299.0	3	Y	379	36	0	0	0	0	0	3	2010	WD 	158000
56	98	533212020	160	FV	2544	Pave	Reg	Lvl	AllPub	Inside	Gtl	Somerst	Norm	Norm	Twnhs	2Story	7	5	2004	2005	Gable	CompShg	MetalSd	MetalSd	None	0.0	Gd	TA	PConc	6	600.0	GasA	Ex	Y	SBrkr	600	600	0	1200	1.0	0.0	2	1	2	1	Gd	4	Typ	0	Detchd	480.0	3	Y	0	172	0	0	0	0	0	2	2010	WD 	149500
57	2565	534479300	20	RL	9888	Pave	Reg	Lvl	AllPub	Inside	Gtl	NAmes	Norm	Norm	1Fam	1Story	5	6	1954	1975	Gable	CompShg	MetalSd	MetalSd	None	0.0	TA	Gd	CBlock	4	936.0	GasA	TA	Y	FuseA	936	0	0	936	0.0	0.0	1	0	2	1	TA	5	Typ	0	Attchd	240.0	3	Y	0	0	160	0	0	0	0	3	2006	WD 	121000
58	1934	535304170	20	RL	7942	Pave	Reg	Lvl	AllPub	Inside	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	7	1953	1953	Hip	CompShg	Wd Sdng	Wd Sdng	None	0.0	TA	TA	CBlock	3	1040.0	GasA	TA	Y	FuseF	1040	0	0	1040	0.0	1.0	1	0	3	1	TA	6	Typ	0	Attchd	293.0	3	Y	0	0	0	0	0	0	0	6	2007	WD 	136000
59	997	527107010	60	RL	15038	Pave	IR2	Lvl	AllPub	Corner	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	5	1996	1996	Gable	CompShg	HdBoard	HdBoard	None	0.0	TA	TA	PConc	3	916.0	GasA	Gd	Y	SBrkr	916	720	0	1636	0.0	0.0	2	1	3	1	TA	7	Typ	1	Attchd	386.0	3	Y	168	84	0	0	0	0	0	11	2008	WD 	173000
60	64	528382020	60	RL	11764	Pave	IR1	Lvl	AllPub	CulDSac	Gtl	NoRidge	Norm	Norm	1Fam	2Story	8	7	1999	2007	Gable	CompShg	VinylSd	VinylSd	BrkFace	348.0	Gd	TA	PConc	6	1152.0	GasA	Ex	Y	SBrkr	1164	1106	0	2270	0.0	0.0	2	1	4	1	Gd	9	Typ	1	Attchd	671.0	3	Y	132	57	0	0	0	0	0	4	2010	WD 	290000
61	1799	528458130	60	FV	9000	Pave	Reg	Lvl	AllPub	Inside	Gtl	Somerst	Norm	Norm	1Fam	2Story	8	5	2007	2007	Gable	CompShg	CemntBd	CmentBd	None	0.0	Gd	TA	PConc	6	1184.0	GasA	Ex	Y	SBrkr	1184	1426	0	2610	0.0	0.0	2	1	4	1	Ex	11	Typ	1	BuiltIn	550.0	3	Y	208	364	0	0	0	0	0	8	2007	New	303477
