	id	lot_area	mas_vnr_area	total_bsmt_sf	1st_flr_sf	2nd_flr_sf	gr_liv_area	bsmt_full_bath	full_bath	half_bath	totrms_abvgrd	fireplaces	garage_area	wood_deck_sf	open_porch_sf	age	years_reno	overall_qual_10	overall_qual_2	overall_qual_3	overall_qual_4	overall_qual_5	overall_qual_6	overall_qual_7	overall_qual_8	overall_qual_9	bldg_type_2fmCon	bldg_type_Duplex	bldg_type_Twnhs	bldg_type_TwnhsE	bsmtfin_type_1_1	bsmtfin_type_1_2	bsmtfin_type_1_3	bsmtfin_type_1_4	bsmtfin_type_1_5	bsmtfin_type_1_6	paved_drive_P	paved_drive_Y	kitchen_qual_Fa	kitchen_qual_Gd	kitchen_qual_TA	exter_qual_Fa	exter_qual_Gd	exter_qual_TA	garage_qual_1	garage_qual_2	garage_qual_3	garage_qual_4	garage_qual_5	gr_liv_area*total_basement_sf	age*years_reno	gr_liv_area**2
11	1364	7200	0.0	1040	1040	0	1040	0	1	0	5	0	320	0	132	83	16	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1081600	1081600	1081600
12	2584	11310	0.0	1367	1375	0	1375	0	1	0	5	1	451	0	30	52	52	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1879625	1879625	1890625
13	818	7976	23.0	1168	1168	1619	2787	2	4	2	8	2	820	312	0	9	9	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	3255216	3255216	7767369
14	2673	11737	0.0	848	1017	810	1827	0	1	0	9	1	240	27	36	82	10	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1549296	1549296	3337929
15	2089	9060	98.0	0	1340	0	1340	0	1	0	7	1	252	116	0	50	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1795600
16	1297	10800	0.0	884	884	552	1436	0	2	0	8	2	828	0	0	68	58	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1269424	1269424	2062096
17	790	9571	0.0	1073	1073	0	1073	1	1	0	5	0	340	0	0	53	53	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1151329	1151329	1151329
18	2616	10800	104.0	1313	1773	0	1773	1	2	0	6	2	418	355	98	45	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2327949	2327949	3143529
19	720	17671	0.0	916	916	826	1742	0	1	1	8	1	424	0	169	127	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1595672	1595672	3034564
20	222	8246	0.0	1060	1060	0	1060	1	1	0	6	1	270	406	90	42	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1123600	1123600	1123600
21	557	8499	0.0	864	864	0	864	1	1	0	5	0	732	0	312	48	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	746496	746496	746496
22	1148	8012	0.0	1604	1617	0	1617	1	2	0	5	1	533	0	69	15	14	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	2593668	2593668	2614689
23	2766	21453	0.0	938	988	0	988	1	1	0	4	2	540	0	130	37	37	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	926744	926744	976144
24	534	9605	0.0	1218	1218	0	1218	0	1	1	6	0	576	0	178	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1483524	1483524	1483524
25	1452	7180	0.0	864	864	0	864	0	1	0	5	0	352	0	0	36	36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	746496	746496	746496
26	630	12513	0.0	715	1281	457	1738	0	2	0	7	1	368	55	0	89	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1242670	1242670	3020644
27	2648	9000	0.0	636	1089	661	1750	0	1	0	8	0	240	0	0	126	15	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1113000	1113000	3062500
28	125	8800	156.0	936	1054	0	1054	1	1	0	6	0	480	120	0	47	47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	986544	986544	1110916
29	1904	3500	0.0	370	442	228	670	1	1	0	4	0	0	0	21	62	57	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	247900	247900	448900
30	1670	7340	0.0	858	858	0	858	0	1	0	4	0	684	0	0	36	36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	736164	736164	736164
31	756	6240	0.0	780	848	0	1208	0	1	0	5	0	539	0	23	84	59	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	942240	942240	1459264
32	717	11700	0.0	1240	1320	1320	2640	0	1	1	8	1	864	181	0	129	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	3273600	3273600	6969600
33	1032	10000	0.0	1176	1178	0	1178	0	1	1	5	1	439	224	0	35	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1385328	1385328	1387684
34	852	11166	180.0	1492	1492	0	1492	0	2	0	6	1	608	0	114	8	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	2226064	2226064	2226064
35	1731	13204	44.0	608	608	850	1458	0	2	0	6	0	454	100	33	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	886464	886464	2125764
36	2639	5520	0.0	1147	1147	510	1657	0	1	0	9	1	162	0	0	86	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1900579	1900579	2745649
37	2071	9000	0.0	0	998	0	998	0	1	0	5	0	460	0	0	62	57	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	996004
38	1267	8892	0.0	105	910	0	910	0	1	0	5	0	414	196	0	55	12	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	95550	95550	828100
39	1851	7321	0.0	1339	1358	0	1358	0	2	0	5	0	625	176	174	8	7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1818362	1818362	1844164
40	567	3951	76.0	612	612	612	1224	0	2	1	4	0	528	0	234	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	749088	749088	1498176
41	2439	11214	0.0	930	956	930	1886	0	2	1	10	1	431	89	0	8	7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1753980	1753980	3556996
42	1898	7388	0.0	1063	1327	0	1327	1	1	0	7	0	624	0	0	48	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1410601	1410601	1760929
43	647	14559	70.0	1008	1363	0	1363	1	1	0	6	2	288	324	42	58	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1373904	1373904	1857769
44	2256	4054	352.0	1501	1501	0	1501	1	2	0	5	2	512	240	0	20	20	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	2253001	2253001	2253001
45	979	1533	0.0	546	798	546	1344	0	1	1	6	1	0	0	0	39	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	733824	733824	1806336
46	1444	11250	162.0	920	920	866	1786	1	2	1	6	1	608	0	42	7	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1643120	1643120	3189796
47	2485	7800	0.0	828	965	0	965	1	1	0	6	0	300	421	0	41	41	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	799020	799020	931225
48	157	5868	0.0	936	936	0	936	1	1	0	4	0	308	0	0	54	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	876096	876096	876096
49	88	7500	0.0	1040	1040	0	1040	1	1	1	5	0	308	0	0	47	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1081600	1081600	1081600
50	2003	9439	0.0	912	912	336	1248	0	1	0	6	0	160	0	0	77	57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1138176	1138176	1557504
51	186	9000	0.0	346	1157	1111	2268	0	3	0	7	0	624	0	108	120	8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	784728	784728	5143824
52	1425	9345	156.0	1615	1615	0	1615	0	2	0	7	1	864	168	30	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	2608225	2608225	2608225
53	2695	7200	0.0	803	803	557	1360	0	1	1	6	0	297	0	65	68	11	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1092080	1092080	1849600
54	738	6000	444.0	468	822	320	1142	0	1	0	6	0	320	0	0	85	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	534456	534456	1304164
55	395	7930	0.0	1026	1026	0	1026	1	1	0	5	0	440	171	48	40	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1052676	1052676	1052676
56	1353	9120	0.0	1026	1133	687	1820	1	2	0	8	0	240	0	100	83	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1867320	1867320	3312400
57	1878	9503	0.0	1024	1344	0	1344	1	1	0	6	1	484	316	28	49	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1376256	1376256	1806336
58	390	11050	0.0	1176	1193	0	1193	0	2	0	5	1	506	40	0	34	34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1402968	1402968	1423249
59	1456	10316	0.0	992	992	873	1865	1	2	1	7	1	839	0	184	8	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1850080	1850080	3478225
60	1103	11675	495.0	1982	2006	0	2006	1	2	0	5	1	938	144	33	10	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	3975892	3975892	4024036
61	1387	12900	0.0	1300	1140	0	1140	1	1	0	6	0	400	0	0	88	58	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1482000	1482000	1299600
62	2070	13770	340.0	1158	1176	0	1176	1	1	0	6	2	303	0	0	49	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1361808	1361808	1382976
63	1199	13355	0.0	825	845	825	1670	0	1	1	7	0	464	0	0	37	37	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1377750	1377750	2788900
64	2479	7153	0.0	761	810	793	1603	0	2	1	7	0	484	0	124	14	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1219883	1219883	2569609
65	501	10750	634.0	2024	2063	0	2063	1	2	0	7	2	815	182	56	15	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	4175512	4175512	4255969
66	2362	8125	0.0	858	858	0	858	0	1	0	5	0	0	0	0	35	35	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	736164	736164	736164
67	1718	3903	182.0	1302	1302	0	1302	1	1	1	5	1	631	110	50	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1695204	1695204	1695204
68	2188	4270	0.0	544	774	0	774	0	1	0	6	0	0	0	0	76	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	421056	421056	599076
69	1483	4426	147.0	848	848	0	848	1	1	0	3	1	420	149	0	4	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	719104	719104	719104
70	2557	5825	108.0	600	747	0	747	0	1	0	5	0	528	0	0	80	53	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	448200	448200	558009
71	437	23303	20.0	1508	1508	1012	2520	1	2	1	10	1	640	192	273	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	3800160	3800160	6350400
72	2224	25485	423.0	1560	1560	0	1560	0	1	1	6	3	580	0	75	47	47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2433600	2433600	2433600
73	1628	10784	76.0	384	802	670	1472	0	2	1	7	1	402	164	0	16	15	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	565248	565248	2166784
74	397	8510	178.0	1043	1050	0	1050	1	1	1	6	0	336	0	0	38	38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1095150	1095150	1102500
75	587	17871	359.0	1680	1724	0	1724	1	1	1	7	1	480	0	0	42	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2896320	2896320	2972176
76	971	21750	75.0	0	1771	0	1771	0	1	0	9	1	336	0	0	49	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	3136441
77	2611	9510	161.0	1135	1207	0	1207	0	1	1	6	0	264	0	240	44	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1369945	1369945	1456849
78	1887	8339	0.0	0	882	0	882	0	1	0	5	0	294	0	0	48	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	777924
79	2399	14828	674.0	1780	1780	0	1780	1	2	0	7	1	816	144	68	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	3168400	3168400	3168400
80	2148	8749	100.0	1459	1459	0	1459	0	2	0	6	1	527	192	39	5	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	2128681	2128681	2128681
81	304	9140	0.0	629	727	380	1107	0	1	0	5	0	625	0	56	89	35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	696303	696303	1225449
82	1997	3600	0.0	687	687	671	1358	0	1	1	6	1	336	0	32	77	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	932946	932946	1844164
83	2817	8777	0.0	676	760	676	1436	1	2	0	6	0	528	147	0	96	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	970736	970736	2062096
84	1431	12798	0.0	616	616	1072	1688	1	2	1	8	0	603	403	114	11	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1039808	1039808	2849344
85	427	12704	306.0	2042	2042	0	2042	0	2	1	8	1	1390	0	90	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4169764	4169764	4169764
86	263	7480	0.0	876	876	0	876	1	1	0	5	0	484	0	0	38	38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	767376	767376	767376
87	598	16500	509.0	1232	1320	0	1320	0	2	0	5	1	495	0	20	38	38	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1626240	1626240	1742400
88	2895	16669	653.0	1686	1707	0	1707	0	2	1	6	1	511	574	64	25	25	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	2878002	2878002	2913849
89	687	8064	0.0	864	1064	0	1495	0	1	0	6	0	576	180	36	61	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1291680	1291680	2235025
90	1822	7758	0.0	999	999	0	999	1	1	0	6	0	264	0	132	45	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	998001	998001	998001
91	2191	11767	0.0	560	796	550	1346	0	1	1	6	0	384	168	24	97	7	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	753760	753760	1811716
92	179	6900	0.0	827	827	424	1251	0	1	0	6	0	240	0	0	72	10	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1034577	1034577	1565001
93	1009	4671	0.0	1228	1228	0	1228	1	2	0	5	1	472	168	120	20	19	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1507984	1507984	1507984
94	2010	6125	0.0	728	728	546	1274	0	2	0	6	0	224	0	0	68	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	927472	927472	1623076
95	1991	9863	0.0	728	914	728	1642	0	1	1	9	1	374	0	0	80	57	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1195376	1195376	2696164
96	1411	9571	0.0	1509	1509	0	1509	1	1	0	6	1	322	158	0	52	52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2277081	2277081	2277081
97	1721	4590	108.0	1554	1554	0	1554	0	2	0	6	1	627	156	73	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	2414916	2414916	2414916
98	1144	8450	0.0	827	827	850	1677	1	2	1	7	0	627	0	68	7	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1386879	1386879	2812329
99	593	8400	0.0	810	810	855	1665	1	2	1	6	0	528	0	45	8	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1348650	1348650	2772225
100	575	14694	450.0	1694	1694	0	1694	1	2	0	5	1	642	501	120	32	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2869636	2869636	2869636
101	1249	14250	360.0	998	1790	0	1790	0	2	0	6	2	540	0	40	51	51	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1786420	1786420	3204100
102	1604	6951	0.0	876	923	0	923	1	1	0	5	0	264	362	0	24	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	808548	808548	851929
103	1064	12720	680.0	2535	2470	0	2470	2	1	1	7	2	789	154	65	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	6261450	6261450	6100900
104	1923	11988	0.0	1244	1244	0	1244	0	1	1	6	2	336	0	40	50	50	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1547536	1547536	1547536
105	1988	3880	0.0	686	866	0	866	0	1	0	4	0	0	58	42	62	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	594076	594076	749956
106	2325	7685	112.0	697	697	804	1501	0	2	1	6	1	420	190	63	13	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1046197	1046197	2253001
107	114	18837	0.0	1224	1287	604	1891	0	3	0	7	1	678	0	69	32	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2314584	2314584	3575881
108	2700	11136	0.0	1921	1921	0	1921	0	2	0	8	0	576	0	180	42	42	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3690241	3690241	3690241
109	217	10773	72.0	1832	1832	0	1832	2	2	0	8	0	0	0	58	43	43	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3356224	3356224	3356224
110	343	10200	440.0	1434	1434	0	1434	1	2	0	7	1	528	80	21	35	35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2056356	2056356	2056356
